YEAR;MONTH_ID;MONTH_NAME;PRODUCT_ID;PRODUCT_NAME;PRICE;VAT;EXCISE;NET
1996;1;January;5;LPG;0;0;0;0
1996;2;February;5;LPG;0;0;0;0
1996;3;March;5;LPG;0;0;0;0
1996;4;April;5;LPG;0;0;0;0
1996;5;May;5;LPG;0;0;0;0
1996;6;June;5;LPG;0;0;0;0
1996;7;July;5;LPG;0;0;0;0
1996;8;August;5;LPG;0;0;0;0
1996;9;September;5;LPG;0;0;0;0
1996;10;October;5;LPG;0;0;0;0
1996;11;November;5;LPG;0;0;0;0
1996;12;December;5;LPG;0;0;0;0
1997;1;January;5;LPG;0;0;0;0
1997;2;February;5;LPG;0;0;0;0
1997;3;March;5;LPG;0;0;0;0
1997;4;April;5;LPG;0;0;0;0
1997;5;May;5;LPG;0;0;0;0
1997;6;June;5;LPG;472.24;75.4;168.06;228.78
1997;7;July;5;LPG;467.64;74.66;168.06;224.92
1997;8;August;5;LPG;464.01;74.09;168.06;221.87
1997;9;September;5;LPG;465.21;74.28;168.06;222.87
1997;10;October;5;LPG;468.98;77.64;168.06;223.28
1997;11;November;5;LPG;475.9;79.32;168.06;228.53
1997;12;December;5;LPG;476.81;79.47;168.06;229.28
1998;1;January;5;LPG;468.11;78.02;168.06;222.04
1998;2;February;5;LPG;455.53;75.92;168.06;211.55
1998;3;March;5;LPG;448.15;74.69;168.06;205.41
1998;4;April;5;LPG;445.7;74.28;168.06;203.37
1998;5;May;5;LPG;445.59;74.26;168.06;203.27
1998;6;June;5;LPG;443.4;73.9;168.06;201.44
1998;7;July;5;LPG;439.9;73.32;168.06;198.53
1998;8;August;5;LPG;439.06;73.18;168.06;197.82
1998;9;September;5;LPG;439.04;73.17;168.06;197.81
1998;10;October;5;LPG;444.6;74.1;168.06;202.45
1998;11;November;5;LPG;455.74;75.96;168.06;211.73
1998;12;December;5;LPG;464.96;77.49;168.06;219.41
1999;1;January;5;LPG;465.66;77.61;162.89;225.16
1999;2;February;5;LPG;452.67;75.44;156.63;220.6
1999;3;March;5;LPG;460.31;76.72;156.63;226.97
1999;4;April;5;LPG;465.65;77.61;156.63;231.42
1999;5;May;5;LPG;465.84;77.64;156.63;231.58
1999;6;June;5;LPG;466.14;77.69;156.63;231.82
1999;7;July;5;LPG;473.01;78.84;156.63;237.55
1999;8;August;5;LPG;481.52;80.25;156.63;244.64
1999;9;September;5;LPG;495.08;82.51;156.63;255.94
1999;10;October;5;LPG;499.68;83.28;156.63;259.78
1999;11;November;5;LPG;490.75;81.79;149.52;259.44
1999;12;December;5;LPG;499.06;83.18;149.52;266.36
2000;1;January;5;LPG;508.16;84.69;148.68;274.78
2000;2;February;5;LPG;522.87;87.14;148.34;287.38
2000;3;March;5;LPG;539.5;89.92;146.97;302.62
2000;4;April;5;LPG;536.77;89.46;144.79;302.52
2000;5;May;5;LPG;536.28;89.38;144.79;302.11
2000;6;June;5;LPG;533.88;88.98;144.79;300.11
2000;7;July;5;LPG;533.98;89;144.79;300.2
2000;8;August;5;LPG;536.98;89.5;144.79;302.7
2000;9;September;5;LPG;549.65;91.61;144.79;313.25
2000;10;October;5;LPG;560.01;93.33;144.79;321.88
2000;11;November;5;LPG;571.08;95.18;144.79;331.11
2000;12;December;5;LPG;573.83;95.64;144.79;333.41
2001;1;January;5;LPG;573.1;95.52;144.79;332.8
2001;2;February;5;LPG;572.47;95.41;144.79;332.27
2001;3;March;5;LPG;564.47;94.08;144.79;325.6
2001;4;April;5;LPG;559.63;93.27;144.79;321.57
2001;5;May;5;LPG;558.29;93.05;144.79;320.45
2001;6;June;5;LPG;555.9;92.65;144.79;318.46
2001;7;July;5;LPG;538.23;89.7;144.79;303.74
2001;8;August;5;LPG;518.71;86.45;144.79;287.47
2001;9;September;5;LPG;514.94;85.83;144.79;284.33
2001;10;October;5;LPG;511.09;85.18;144.79;281.12
2001;11;November;5;LPG;515.36;85.89;155.05;274.42
2001;12;December;5;LPG;504.5;84.08;156.62;263.79
2002;1;January;5;LPG;501.68;83.6;156.62;261.46
2002;2;February;5;LPG;507;84.5;156.62;265.88
2002;3;March;5;LPG;508.85;84.81;156.62;267.42
2002;4;April;5;LPG;514.68;85.78;156.62;272.28
2002;5;May;5;LPG;516.88;86.15;156.62;274.11
2002;6;June;5;LPG;513.92;85.65;156.62;271.64
2002;7;July;5;LPG;507.83;84.64;156.62;266.57
2002;8;August;5;LPG;508;84.67;156.62;266.71
2002;9;September;5;LPG;522.5;87.09;156.62;278.79
2002;10;October;5;LPG;539.93;89.99;156.62;293.32
2002;11;November;5;LPG;544.84;90.81;156.62;297.41
2002;12;December;5;LPG;552.16;92.03;156.62;303.51
2003;1;January;5;LPG;562.78;93.8;156.62;312.36
2003;2;February;5;LPG;577.53;96.26;156.62;324.66
2003;3;March;5;LPG;591.58;98.6;156.62;336.36
2003;4;April;5;LPG;574.45;95.74;156.62;322.09
